lat_rounded,lon_rounded,district_imputed
13.67,100.65,
19.25,-99.07,
-33.91,18.54,
-22.99,-43.32,
-22.92,-43.39,
-33.84,151.15,
-33.86,151.13,
40.98,28.75,
-22.93,-43.37,
-33.69,151.3,
-33.65,151.31,
13.71,100.5,
13.7,100.54,
19.36,-99.13,
-33.96,151.14,
-33.93,150.84,
13.73,100.53,
19.5,-99.18,
19.28,-99.19,
-33.78,18.46,
-34.07,18.84,
-33.85,151.24,
-33.7,151.29,
-33.93,151.07,
-33.82,151.18,
-33.83,151.01,
-33.81,151.04,
-33.71,151.3,
13.73,100.52,
-33.75,151.28,
-33.92,151.13,
-33.92,151.08,
-33.81,151.28,
-33.94,151.11,
-33.88,151.25,
-33.93,151.09,
-33.82,151.23,
-33.96,151.23,
13.78,100.54,
13.68,100.6,
-33.99,18.45,
-33.93,18.45,
-22.98,-43.33,
-33.86,151.11,
-33.93,151.23,
-33.87,151.17,
41.88,12.4,
-33.82,151.17,
-33.64,151.33,
-33.88,151.09,
41.82,12.49,
-33.9,151.22,
-33.91,151.12,
41.12,29.06,
-34.13,18.42,
-33.97,18.47,
-34.04,151.15,
19.44,-99.17,
19.27,-99.19,
19.3,-99.18,
-33.82,18.47,
-34.03,18.34,
-33.72,18.45,
-34.04,151.06,
-33.87,151.13,
-33.89,151.14,
-33.92,150.92,
19.29,-99.13,
19.42,-99.13,
-23.01,-43.29,
-33.95,151.21,
40.88,29.1,
41.83,12.6,
-33.8,151.25,
41.87,12.56,
13.77,100.54,
-33.86,18.51,
-34.13,18.84,
-34.03,18.43,
41.87,12.42,
41.92,12.68,
-33.81,151.08,
-33.76,151.28,
-33.77,151.1,
-33.67,151.3,
-33.97,151.15,
-33.92,151.04,
13.72,100.7,
13.88,100.59,
13.78,100.48,
13.71,100.61,
13.89,100.61,
22.28,114.16,
19.48,-99.08,
19.34,-99.19,
-34.1,18.88,
-33.81,18.51,
-34.11,18.84,
-33.89,18.59,
41.06,29.02,
41.03,28.67,
41.01,28.65,
41.01,28.69,
40.94,29.32,
41.05,28.67,
41.04,29.03,
41.94,12.48,
41.86,12.45,
41.96,12.63,
-22.89,-43.22,
-23.01,-43.37,
-22.91,-43.3,
-22.9,-43.35,
-22.88,-43.42,
-33.86,151.16,
-33.81,151.19,
-33.77,151.26,
-33.78,151.07,
-33.94,151.21,
-33.89,151.16,
-33.68,151.3,
-33.95,151.24,
-33.86,151.07,
48.83,2.27,
13.7,100.43,
13.73,100.47,
-22.84,-43.37,
-33.76,151.16,
-33.83,151.07,
13.75,100.5,
13.69,100.48,
13.78,100.4,
13.77,100.42,
13.83,100.65,
13.77,100.41,
13.76,100.43,
13.78,100.44,
13.8,100.54,
13.72,100.47,
13.68,100.55,
13.78,100.61,
-23.0,-43.31,
-22.9,-43.21,
-33.88,151.11,
-33.76,150.76,
41.06,28.82,
13.75,100.65,
13.76,100.62,
-34.16,18.89,
-33.88,18.68,
-22.93,-43.33,
-22.96,-43.16,
-22.99,-43.35,
-22.82,-43.3,
-22.82,-43.38,
-22.9,-43.36,
-22.81,-43.2,
-22.99,-43.41,
-22.88,-43.56,
41.09,29.09,
41.07,28.94,
41.12,29.03,
41.98,12.52,
42.0,12.49,
41.86,12.5,
-22.97,-43.17,
-33.82,151.08,
41.07,29.0,
-33.91,151.13,
41.03,28.85,
41.85,12.59,
-33.98,18.45,
-34.09,18.83,
-33.85,151.18,
41.85,12.43,
41.93,12.43,
13.73,100.63,
-33.71,151.1,
-33.81,151.16,
41.95,12.47,
41.84,12.59,
-33.8,151.19,
41.98,12.53,
-33.9,18.63,
-33.94,151.23,
41.79,12.43,
-33.85,151.03,
41.02,28.91,
41.0,28.89,
41.0,28.65,
13.79,100.61,
-23.02,-43.31,
-22.93,-43.35,
40.98,28.9,
41.11,29.01,
41.03,28.68,
41.84,12.48,
41.89,12.4,
-33.89,18.65,
-33.77,151.09,
41.05,28.97,
41.82,12.61,
41.95,12.45,
41.93,12.65,
41.8,12.42,
41.79,12.49,
41.93,12.53,
41.87,12.57,
48.85,2.45,
19.31,-99.15,
41.01,29.23,
41.85,12.48,
13.73,100.49,
13.87,100.67,
41.91,12.37,
41.97,12.45,
13.71,100.57,
-22.79,-43.17,
-22.96,-43.34,
-22.99,-43.46,
41.1,28.79,
41.01,28.64,
41.92,12.59,
41.84,12.46,
41.93,12.46,
41.8,12.45,
-22.91,-43.29,
13.84,100.58,
13.77,100.59,
19.34,-99.15,
-33.92,18.52,
-33.82,151.19,
-33.88,151.14,
40.94,29.13,
40.96,29.14,
41.09,29.07,
41.99,12.41,
13.87,100.59,
13.66,100.61,
13.71,100.53,
41.07,28.95,
41.08,28.68,
41.98,12.51,
41.87,12.6,
13.76,100.53,
13.69,100.54,
13.78,100.38,
13.84,100.66,
13.85,100.65,
-34.08,18.88,
-34.06,18.84,
-22.92,-43.27,
-22.95,-43.16,
41.01,29.2,
41.04,28.6,
41.0,28.96,
41.03,28.63,
40.89,29.19,
41.03,28.94,
41.03,28.9,
41.95,12.56,
13.8,100.58,
-33.82,18.69,
-33.85,151.08,
-33.95,18.41,
-33.85,151.19,
41.77,12.48,
13.71,100.58,
13.82,100.53,
41.06,28.69,
41.86,12.48,
41.81,12.43,
41.92,12.48,
41.96,12.52,
41.93,12.42,
22.29,114.13,
-33.86,151.2,
13.69,100.39,
41.91,12.41,
19.45,-99.15,
-33.78,151.12,
41.73,12.35,
19.43,-99.13,
-33.85,151.23,
41.79,12.38,
-33.91,18.43,
-33.79,151.0,
-33.8,151.14,
41.9,12.53,
41.9,12.54,
13.66,100.44,
19.36,-99.1,
19.48,-99.11,
-22.99,-43.49,
41.05,28.81,
40.92,29.16,
41.1,28.88,
41.04,28.8,
13.89,100.57,
13.74,100.7,
22.37,114.12,
19.46,-99.15,
-33.85,18.63,
-23.01,-43.38,
-23.0,-43.44,
-22.89,-43.28,
40.99,29.04,
41.04,28.96,
41.09,29.0,
40.97,29.05,
41.73,12.27,
13.82,100.55,
13.69,100.41,
13.93,100.61,
-33.85,151.12,
19.4,-99.26,
-33.94,18.45,
13.74,100.6,
13.69,100.51,
19.23,-99.17,
-33.81,151.21,
-33.73,151.16,
-33.92,151.1,
41.95,12.64,
-33.92,151.09,
-33.87,151.11,
13.73,100.54,
13.75,100.6,
13.84,100.57,
13.72,100.72,
19.39,-99.24,
-34.08,18.83,
-22.99,-43.24,
-33.91,151.1,
41.79,12.47,
-34.03,18.46,
-33.8,151.2,
-33.81,151.22,
-33.85,151.27,
41.94,12.62,
-34.05,18.73,
13.79,100.59,
-33.95,18.48,
-33.93,18.47,
-33.81,151.24,
-33.79,151.09,
41.93,12.41,
-33.82,151.25,
13.8,100.57,
13.72,100.46,
-34.0,151.09,
-33.77,151.16,
41.83,12.47,
13.74,100.65,
19.36,-99.14,
-34.13,18.41,
-34.12,18.92,
-33.75,151.07,
-33.9,151.11,
-33.86,151.15,
42.05,12.36,
13.83,100.56,
13.8,100.51,
-33.87,18.64,
-34.19,18.42,
-33.97,18.48,
-33.83,18.63,
41.88,12.57,
41.78,12.44,
41.83,12.36,
-33.88,151.13,
-33.85,151.15,
-33.9,151.13,
-33.93,151.14,
-34.03,18.48,
-22.99,-43.25,
13.66,100.62,
13.7,100.53,
13.68,100.47,
13.76,100.59,
13.73,100.7,
